ID,Context,Score_Total_Accuracy,Score_Accuracy_Logic,Score_Accuracy_Math,Score_Stability,Score_SearchSuccess,Score_Consistency,Primary_Tag,Hallucination_Track,Output_Reasoning,Recommended_Track,Score_Diversity,Overall_Search_Success_Rate
1,Library-Focus,76.9,95,34.6,1,1,1.0,focus_classical_calm,,"도서관에서 집중하기 좋은 잔잔한 클래식 음악을 추천합니다. 소음이 적은 환경에서 집중력을 높이기 위해 에너지를 낮추고, 가사가 없는 클래식 음악을 선택했습니다.","Ludwig van Beethoven - Piano Sonata No. 14 in C-sharp minor, Op. 27 No. 2 'Moonlight'",90.0,100.0%
2,Gym-Active,65.0,70,53.4,1,1,1.0,active_electronic_intense,,헬스장에서 운동할 때 듣기 좋은 EDM 곡을 추천합니다. 소음이 많은 환경에서 에너지를 높이기 위해 비트가 강한 곡을 선택했습니다.,David Guetta - Titanium,90.0,100.0%
3,Home-Sleep,59.6,70,35.4,1,1,1.0,focus_classical_calm,,사용자의 집에서 듣기 좋은 수면 음악 목표를 고려하여 잔잔하고 편안한 클래식 음악을 추천합니다.,Ludovico Einaudi - Nuvole Bianche,90.0,100.0%
4,Cafe-Relax,68.7,75,53.9,1,1,1.0,relax_jazz_calm,,카페에서 듣기 좋은 Jazz의 편안한 트랙을 추천합니다. 소음도가 적당한 카페 환경에서 부드러운 재즈 음악이 편안한 분위기를 만들어 줄 것입니다.,Bill Evans - Peace Piece,90.0,100.0%
5,Park-Active,76.5,90,45.0,1,1,1.0,active_k-pop_uplifting,,공원에서 활동적인 기분을 유지하기 위해 K-Pop의 신나는 곡을 추천합니다. 소음이 적은 환경에서 에너지를 높일 수 있는 곡입니다.,NewJeans - Hype Boy,90.0,100.0%
6,Co-working-Focus,78.4,90,51.2,1,1,1.0,focus_lo-fi_calm,,조용한 코워킹 스페이스에서 집중하기 좋은 Lo-fi 음악을 추천합니다. 이 곡은 부드러운 멜로디와 편안한 비트로 집중력을 높이는 데 도움을 줄 것입니다.,Lofi Girl - Lofi Work Space Deep Focus Study/Work Concentration,90.0,100.0%
7,Moving (Car)-Neutral,79.5,95,43.3,1,1,1.0,active_pop_groovy,,"차에서 듣기 좋은 Pop Hits 음악을 추천하며, 소음도와 취향을 고려하여 신나는 곡을 선정했습니다.",Dua Lipa - Don't Start Now,90.0,100.0%
8,Home-Consolation,77.8,90,49.5,1,1,1.0,relax_ballad_melancholy,,"사용자의 집에서 듣기 좋은 슬픈 발라드 목표를 고려하여, 조용한 분위기에서 감성을 자극하는 IU의 곡을 추천합니다.",IU - 이 지금,90.0,100.0%
9,Library-Focus,62.0,75,31.5,1,1,1.0,focus_acoustic_calm,,"도서관에서 집중하기 좋은 Heavy Metal의 어쿠스틱 버전을 고려하여, 가사가 없는 차분한 분위기의 곡을 추천합니다.",Metallica - Nothing Else Matters (Acoustic),90.0,100.0%
10,Gym-Active,73.9,90,36.2,1,1,1.0,active_classical_intense,,체육관에서 듣기 좋은 Classical의 활기찬 곡을 추천합니다. 이 곡은 빠른 템포와 높은 에너지를 가지고 있어 운동 중 집중력을 높여줄 것입니다.,Aram Khachaturian - Sabre Dance,90.0,100.0%
11,Home-Sleep,78.7,95,40.7,1,1,1.0,focus_hip-hop_calm,,"집에서 듣기 좋은 Hip-hop의 편안한 수면 음악을 고려하여, 부드러운 비트와 낮은 에너지를 가진 곡을 추천합니다.",Jinsang - Lullaby,90.0,100.0%
12,Co-working-Focus,59.7,70,35.6,1,1,1.0,focus_k-pop_calm,,조용한 코워킹 공간에서 집중하기 좋은 K-Pop 곡을 추천합니다. 소음이 적은 환경에서 집중을 도와줄 수 있는 부드럽고 리드미컬한 트랙입니다.,BTS - Spring Day,90.0,100.0%
13,Cafe-Relax,62.9,75,34.6,1,1,1.0,relax_electronic_dreamy,,카페에서 듣기 좋은 편안한 EDM 트랙을 추천합니다. 소음도가 적당하여 부드러운 멜로디가 잘 어우러집니다.,Various Artists - Chill & Focus Lo-Fi EDM Background Music,90.0,100.0%
14,Park-Consolation,74.1,90,37.2,1,1,1.0,relax_rock_melancholy,,공원에서 듣기 좋은 Rock 장르의 위로가 되는 곡을 추천합니다. 소음이 적은 환경에서 감정적으로 위로가 되는 곡을 선택했습니다.,R.E.M. - Everybody Hurts,90.0,100.0%
15,Subway-Focus,38.2,40,33.9,1,1,1.0,focus_classical_calm,,"지하철에서 집중하기 좋은 클래식 음악을 찾기 위해, 조용한 환경에서의 집중을 고려하여 바흐의 피아노 곡을 추천합니다.","Johann Sebastian Bach - Goldberg Variations, BWV 988: Aria",90.0,100.0%
16,Home-Anger (Vent),71.2,90,27.3,1,1,1.0,anger_rock_intense,,집에서 듣기 좋은 Rock 음악으로 분노를 해소할 수 있는 곡을 추천합니다. 소음도는 집에서 듣기 적합한 수준으로 조정하였습니다.,Rage Against The Machine - Killing In The Name,90.0,100.0%
17,Home-Anger (Calm),57.1,70,27.1,1,1,1.0,relax_classical_calm,,"집에서 듣기 좋은 차분한 클래식 음악을 찾기 위해, 소음이 적은 환경에서 편안함을 느낄 수 있는 곡을 선정했습니다.","Ludwig van Beethoven - Piano Sonata No. 14 in C-sharp minor, Op. 27 No. 2 'Moonlight'",90.0,100.0%
18,Moving-Active,59.6,70,35.2,1,1,1.0,active_hip-hop_intense,,"이동 중에 듣기 좋은 Hip-hop의 활기찬 비트를 고려하여, 에너지가 높고 리듬감이 있는 곡을 추천합니다.",J. Cole - Middle Child,90.0,100.0%
19,Cafe-Neutral,77.1,90,46.9,1,1,1.0,relax_indie_dreamy,,"카페에서 듣기 좋은 Indie 음악을 찾기 위해, 편안한 분위기를 고려하여 이 곡을 선정했습니다.",Iron & Wine - Naked as We Came,90.0,100.0%
20,Library-Focus,69.1,90,20.3,1,1,1.0,focus_classical_calm,,"도서관에서 집중하기 좋은 환경을 고려하여, 가사가 없는 클래식 음악을 추천합니다.",Ludovico Einaudi - Nuvole Bianche,90.0,100.0%
